lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m
14.50257361,121.0645218,2.0,5.60146713257,9.0,False,2,Medium (>0.5–1.5m),318.0131346306783
14.502745,121.0645862,2.0,5.60146713257,9.0,False,1,Low (0–0.5m),330.9564842901724
14.71427977,120.9608908,2.0,5.96312522888,10.0,True,1,Low (0–0.5m),0.0
14.71694145,120.9556122,2.0,5.19739103317,10.0,False,1,Low (0–0.5m),27.447119503149896
14.71312792,120.9480913,2.0,3.73873662949,10.0,False,1,Low (0–0.5m),30.032172333223816
14.71307604,120.9585948,2.0,5.49728536606,10.0,False,1,Low (0–0.5m),5.9651778085666685
14.70740751,120.9466697,2.0,3.27494382858,10.0,True,1,Low (0–0.5m),0.0
14.69148181,121.0242918,2.0,32.5857772827,10.0,True,3,High (>1.5m),0.0
14.61069285,121.0429705,2.0,32.1987037659,9.0,False,1,Low (0–0.5m),43.80562358964648
14.60525617,121.10494,2.0,11.2642297745,12.0,True,1,Low (0–0.5m),0.0
14.47389591,120.9841119,2.0,8.76061630249,6.0,False,1,Low (0–0.5m),22.38964950120048
14.54436558,121.0168712,2.0,11.3823461533,7.0,False,1,Low (0–0.5m),6.194949658613517
14.5455287,121.0094361,2.0,9.77738285065,7.0,True,1,Low (0–0.5m),0.0
14.54466675,121.0098223,2.0,9.93932247162,7.0,False,1,Low (0–0.5m),5.924354949091434
14.54519638,121.0089747,2.0,9.59855556488,7.0,True,2,Medium (>0.5–1.5m),0.0
14.44510652,120.9477469,2.0,7.82809734344,6.0,False,3,High (>1.5m),2468.4619297841364
14.62201621,121.0650422,2.0,50.0928688049,9.0,True,1,Low (0–0.5m),0.0
14.51539337,121.0822727,2.0,4.79432201385,10.0,False,1,Low (0–0.5m),14.500260369255646
14.70719293,120.9387182,2.0,2.59821557999,9.0,False,1,Low (0–0.5m),307.648316170855
14.73128025,120.9209957,2.0,2.89454340935,10.0,False,1,Low (0–0.5m),573.7023854995005
14.73274328,120.9208884,2.0,2.95476794243,10.0,False,1,Low (0–0.5m),553.0973908312967
14.70803868,120.9383427,2.0,2.56843996048,9.0,False,1,Low (0–0.5m),276.8888516328701
14.70616039,120.9403275,2.0,2.57679533958,9.0,False,1,Low (0–0.5m),246.12926647475243
14.7135697,120.9343515,2.0,2.29471635818,10.0,False,1,Low (0–0.5m),216.0353510912444
14.71271878,120.9351026,2.0,2.32800078392,10.0,False,1,Low (0–0.5m),221.19091134676884
14.71898643,120.9295236,2.0,2.78435111046,10.0,False,1,Low (0–0.5m),385.9473517934817
14.54296488,121.0081364,2.0,9.39128017426,7.0,True,2,Medium (>0.5–1.5m),0.0
14.54194454,121.0079138,2.0,9.19062900543,7.0,True,2,Medium (>0.5–1.5m),0.0
14.54160313,121.0078763,2.0,9.19062900543,7.0,True,2,Medium (>0.5–1.5m),0.0
14.54194454,121.007887,2.0,9.19062900543,7.0,True,2,Medium (>0.5–1.5m),0.0
14.49942634,121.0308896,2.0,24.4821472168,7.0,False,1,Low (0–0.5m),51.85909084027276
