lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m,nearest_river_name,nearest_river_lon,nearest_river_lat,dist_to_nearest_water_m
14.71087685,120.9440289,0.0,3.35215806961,10.0,True,1,Low (0–0.5m),0.0,Unnamed,120.94515427274789,14.711699452270494,151.59798124141074
14.71123745,120.9416203,0.0,3.23195266724,10.0,True,1,Low (0–0.5m),0.0,Unnamed,120.94484575979716,14.71209929353841,360.2862609330493
14.43296249,120.9851779,0.0,17.18009758,7.0,False,1,Low (0–0.5m),45.23711510860765,Zapote  River,120.9844367437854,14.432917589662695,80.08687114917396
14.46478906,120.9842004,0.0,9.6499376297,6.0,True,2,Medium (>0.5–1.5m),0.0,Unnamed,120.98384931435466,14.464906430677265,40.024809000192306
14.56681532,121.133025,0.0,14.0864591599,14.0,False,3,High (>1.5m),3094.3959023619977,Unnamed,121.12820370584271,14.563466002209834,638.25040361085
14.67749104,120.9621929,0.0,4.97637224197,9.0,True,2,Medium (>0.5–1.5m),0.0,Unnamed,120.96339073108261,14.677647482164316,130.19974096589192
14.67623521,120.9628902,0.0,5.71749019623,9.0,False,2,Medium (>0.5–1.5m),6.326691611204094,Unnamed,120.96357307481412,14.676324395233982,74.22631730060729
14.67671263,120.9629439,0.0,5.5337305069,9.0,True,2,Medium (>0.5–1.5m),0.0,Unnamed,120.9635093914617,14.676786484671482,61.46699213376175
14.65398715,120.9889908,0.0,24.5386276245,9.0,True,1,Low (0–0.5m),0.0,Unnamed,120.98010968396103,14.656355198452449,992.0942477523525
14.6863504,121.0897453,0.0,89.5149230957,14.0,True,1,Low (0–0.5m),0.0,Unnamed,121.09214307563776,14.687326167055332,279.947088802284
14.56686205,121.1329231,0.0,14.0864591599,14.0,False,3,High (>1.5m),3081.8607082695767,Unnamed,121.12820370584271,14.563466002209834,632.400634389397
14.56655592,121.1344121,0.0,14.8742246628,15.0,False,3,High (>1.5m),3244.801847983773,Unnamed,121.13048995479083,14.561153848097112,732.1311528398205
14.72120554,121.1362759,0.0,19.222492218,21.0,False,3,High (>1.5m),602.6063247737835,Unnamed,121.13571725141871,14.720979398703856,65.16251104265615
14.63252409,121.1226183,0.0,20.3677806854,15.0,False,2,Medium (>0.5–1.5m),419.9622776271173,Unnamed,121.12483418531914,14.633741817885763,274.1482007894835
14.63300818,121.0168341,0.0,15.4814777374,8.0,True,3,High (>1.5m),0.0,Unnamed,121.01562317155123,14.634356347085806,198.1983760479017
14.71535897,120.9523292,0.0,4.63814544678,10.0,True,1,Low (0–0.5m),0.0,Unnamed,120.9484563989459,14.711282859615231,614.4158707886817
14.71536935,120.9523399,0.0,4.63814544678,10.0,True,1,Low (0–0.5m),0.0,Unnamed,120.9484563989459,14.711282859615231,616.0417692688377
14.72185927,121.1307708,0.0,16.0416965485,20.0,False,3,High (>1.5m),105.26484174078962,Unnamed,121.13336707827511,14.723390094679036,326.92533013091474
14.64499803,120.9570323,0.0,5.5766749382,9.0,False,1,Low (0–0.5m),2.0110008871254856,Unnamed,120.96266216930724,14.633125295310068,1447.195008039043
14.63449554,121.0091986,0.0,12.5449790955,8.0,True,3,High (>1.5m),0.0,Unnamed,121.01112211716338,14.636938885281095,340.6843007472918
14.63785157,120.9738413,0.0,7.25189399719,8.0,True,2,Medium (>0.5–1.5m),0.0,Unnamed,120.97375644238276,14.638131253899877,32.27381574553301
14.7185091,121.1356728,0.0,18.1766529083,21.0,False,3,High (>1.5m),727.6213131168262,Unnamed,121.13524569423558,14.719137198896965,83.34674575204093
14.69196007,120.9966771,0.0,20.376411438,10.0,True,1,Low (0–0.5m),0.0,Unnamed,120.99751037962412,14.695629170419332,415.844799809005
14.65295922,121.096949,0.0,10.2427883148,13.0,True,3,High (>1.5m),0.0,Marikina  River,121.09397424160248,14.65482515364794,381.24110689268537
14.65176293,121.0977403,0.0,11.1843156815,13.0,True,3,High (>1.5m),0.0,Marikina  River,121.09372088104391,14.65444229477012,524.8100477743543
14.548539,121.0891794,0.0,6.66783046722,11.0,True,1,Low (0–0.5m),0.0,Unnamed,121.08768842439095,14.547061899008222,229.22432112838788
